train,test,train_cross,test_cross,parameter_count
0.06540553639729818,0.06628619036674499,0.005240397207935651,0.005294719088077545,3.0
0.023426385778188705,0.026466166841983794,0.0018389582032958666,0.0021354379996657374,7.0
0.015709938846031824,0.016854781579971313,0.0005403212836943567,0.0013428307971917093,15.0
0.00816622823079427,0.00942144667506218,0.000306044987651209,0.0010316929316148162,20.0
0.008955947763721148,0.010153550302982331,0.00018034966471605003,0.0010521094683557748,27.0
0.008662632941206297,0.010717003816366196,7.91801593567167e-05,0.0008270131903234869,33.0
0.007013653846581777,0.00843925251364708,5.880479843472131e-05,0.0009004129196284339,40.0
0.007391362861295541,0.009985040199756622,4.486208571082292e-05,0.0007382180796714238,53.0
0.0060671677187085155,0.007591887086629868,4.025937693853242e-05,0.000730940670077689,60.0
0.004850481169919173,0.007690302860736847,3.5148222630959935e-05,0.0006657546683651162,64.0
0.004168495790163676,0.00752554412484169,3.433968095826761e-05,0.0006681419102940708,70.0
0.0037015419527888296,0.006271273997426033,3.0979429968283514e-05,0.0006080734343151562,75.0
0.004636190586785475,0.00686585767865181,3.0800964499940164e-05,0.0006255193029064685,80.0
0.004894931972026825,0.0071884490549564365,3.0699239068781026e-05,0.0006164208315312862,86.0
0.003130293661604325,0.006815997475385666,2.9427482553001028e-05,0.0006029137725261535,90.0
0.00341847285280625,0.0062278785288333895,2.843828774348367e-05,0.0005852465354138985,97.0
